id,sname,charnum,time,type
0,00_黑暗时代上,11194,201905,main
1,01_黑暗时代下,10658,201905,main
2,02_异卵同生,15056,201905,main
3,03_二次呼吸,15580,201905,main
4,04_急性衰竭,18354,201905,main
5,骑兵与猎人,15419,201906,act_ss
6,05_靶向药物,24475,201907,main
7,火蓝之心,38274,201908,act_ss
,,0,201909,
8,战地秘闻,29091,201910,act_om
9,喧闹法则,53362,201911,act_ss
10,06_局部坏死,68800,201912,main
11,烘炉示岁,25046,202001,act_om
12,午间逸话,37828,202002,act_om
,,0,202003,
13,生于黑夜,38315,202004,act_ss
14,07_苦难摇篮,89945,202005,main
15,乌萨斯的孩子们,47969,202006,act_om
16,沃伦姆德的薄暮,57744,202007,act_ss
17,密林悍将归来,41487,202008,act_ss
18,踏寻往昔之风,38321,202009,act_om
19,玛莉娅临光,64345,202010,act_ss
20,08_怒号光明,136734,202011,main
21,孤岛风云,44973,202012,act_ss
22,此地之外,42204,202101,act_om
23,画中人,48113,202102,act_ss
24,源石尘行动,43271,202103,act_ss
25,遗尘漫步,63241,202104,act_ss
26,覆潮之下,63920,202105,act_ss
27,灯火序曲,40609,202106,act_om
28,如我所见,44345,202107,act_om
29,多索雷斯假日,50703,202108,act_ss
30,09_风暴瞭望,80879,202109,main
31,红松林,38786,202110,act_om
32,长夜临光,148288,202111,act_ss
33,风雪过境,96155,202112,act_ss
34,将进酒,74963,202201,act_ss
35,阴云火花,46451,202202,act_om
36,吾导先路,64514,202203,act_ss
37,10_破碎日冕,121782,202204,main
38,愚人号,109914,202205,act_ss
39,尘影余音,70965,202206,act_ss
40,绿野幻梦,76850,202207,act_ss
41,未尽篇章,34253,202207,act_om
42,理想城：长夏狂欢季,66907,202208,act_ss
43,日暮寻路,46002,202209,act_om
44,好久不见,36453,202209,act_om
45,11_淬火尘霾,96049,202210,main
46,叙拉古人,112014,202211,act_ss
47,照我以火,63668,202212,act_ss
48,登临意,77312,202301,act_ss
49,春分,45479,202302,act_om
50,落叶逐火,69774,202303,act_ss
51,12_惊霆无声,94059,202304,main
52,孤星,152390,202305,act_ss
53,空想花庭,78837,202306,act_ss
54,眠于树影之中,49373,202307,act_om
55,火山旅梦,92136,202308,act_ss
56,不义之财,83395,202309,act_ss
57,13_恶兆湍流,144968,202310,main
58,崔林特尔梅之金,152359,202311,act_ss
59,银心湖列车,96440,202312,act_ss
60,去咧嘴谷,49057,202401,act_om
61,怀黍离,76210,202402,act_ss
62,水晶箭行动,72022,202403,act_ss
63,巴别塔,97061,202404,act_ss
64,14_慈悲灯塔,190139,202405,main
65,生路,100241,202406,act_ss
66,熔炉“还魂记”,47894,202407,act_om
67,太阳甩在身后,77232,202408,act_ss
68,泰拉饭,52054,202409,act_ss
69,追迹日落以西,92028,202410,act_ss
